gene,AGH,CFB,CGC,CHC,HPB,Overall
TTLL5,23.49556430500162,21.7804519382613,34.865225494126115,28.23310829988599,39.22498661990424,29.519867331435854
DUOXA1,30.837085759337878,15.447952238392599,28.396576641026616,36.94829014388484,35.805641274654384,29.487109211459263
RIC1,31.499410001412453,37.84575504177912,25.673388243178717,26.99629903900056,25.12664735272129,29.42829993561843
OR52E1,34.02658124574774,33.71707275944154,23.49217357978064,32.01757514751233,23.221071109140816,29.294894768324614
TECPR2,33.32809227865129,31.402992295051796,22.992682963318774,21.0954049787577,37.4522128224552,29.254277067646953
STUB1,39.65520269367449,14.163435399422989,44.777067154652755,20.996199213582898,26.6354596758322,29.245472827433066
SCGB1D4,22.037802291627933,35.79803500075978,33.11740240398691,35.46743673092225,19.50719524701047,29.185574334861467
PARN,21.195916489732948,32.56565136991041,26.826082169276187,27.68240618517175,37.31082554899891,29.11617635261804
KXD1,36.40518376173516,32.40130630336968,17.540924582895276,35.064232930041186,23.57225533208154,28.996780582024567
APOBEC3A,39.20820310246998,43.09120885631701,18.67775591750996,28.597188585855637,15.1773993079619,28.950351154022897
CXorf38,34.04441555728891,19.179579079202213,25.202785319514113,25.368068888611393,40.86359892109356,28.93168955314204
MTA2,34.78832388650529,24.51868993104578,26.9022051570874,38.227450660777336,20.070687790466568,28.901471485176476
TCEAL4,36.888443332067574,33.24270140617004,31.148025146885555,22.14793653855585,21.06478456894162,28.898378198524128
MLH1,8.481846858167078,35.62022417412079,35.130678362165604,24.58733916197908,40.46996404836239,28.858010520958988
OR2A12,27.671752556939577,28.25262948625114,20.554159135283417,35.06019565104351,32.52921757773993,28.813590881451514
GRAPL,29.817102013520973,24.021367052444333,32.858098825155025,16.756700294723416,40.58302644053532,28.807258925275814
QRFPR,5.417037090011621,38.32385833392111,47.995041682611514,9.331980511998342,42.95019201861561,28.80362192743164
MRPL36,12.684017583581522,38.20665513073179,28.662295509190226,35.37327877446764,28.727597199673443,28.730768839528924
PVALB,17.977617021804708,33.64850262282095,37.78803912703782,21.727825983958343,32.4053390091843,28.709464752961225
GLUL,25.695617393576462,25.75326911309596,29.20087244050724,32.64988438331574,29.41051877830216,28.54203242175951
LRFN4,9.862796175728427,21.662188918524066,41.800602999850426,40.87640445469533,28.237294886229353,28.48785748700552
SPDYE13,34.875957513289265,32.07962510271566,21.109999149342475,28.445816253613586,25.753533428200644,28.452986289432324
SEMA4F,26.974317429035526,23.044243640473386,17.20912147125754,33.45185464685173,41.08942613003379,28.353792663530395
PHKG2,26.8383730423579,18.99922750701368,27.547977307763325,27.818776107143783,40.01204169013963,28.243279130883664
GFI1,19.964520669208927,24.885017685220166,27.30717612137012,38.57760616861521,30.24155455021047,28.19517503892498
PIK3R4,24.02087851668295,24.139041548366777,24.416057511518765,40.319709241112925,27.857871264374822,28.150711616411247
DUSP29,26.50953848018845,22.5314771149809,32.304129273417864,31.587860734540634,27.752879850024065,28.13717709063038
STK26,27.15841955749515,26.15660835934362,26.685652513314146,15.432707160683945,45.16990510966921,28.120658540101214
RNF144A,33.67732429208702,22.604518390815983,11.456419078598822,27.775509892595935,44.955800491943876,28.093914429208326
C22orf15,34.39966738322862,27.623282322476083,25.44636650131854,28.94167493965845,24.043255177632975,28.090849264862932
OR5K4,31.301825326984556,29.736740899708614,33.9632814411039,12.027428597644272,33.367653135728744,28.079385880234017
GARIN4,29.39891809387471,30.62417218102345,31.71162372340347,24.826786003711007,23.824536610273796,28.077207322457287
CCDC92,22.241408793176923,29.754420332965815,32.149434789461345,36.47275493892662,19.61537803215204,28.04667937733655
STXBP4,20.84791287310713,38.997374930454924,20.403125744274075,23.65373096136694,36.269453031881625,28.03431950821694
CDC26,31.409962647974616,36.740748346595275,31.042757235310237,18.165111541123228,22.691138040312342,28.00994356226314
CCR3,30.781415478932562,41.60563421917711,22.594620719871003,27.20222324839951,17.609537385928302,27.958686210461696
HOXB8,25.77479185339046,31.479210127698277,34.36191712868472,20.13087690617884,27.899525971589423,27.929264397508344
MVB12A,39.60923518096721,17.255433183560225,33.0711596096034,22.239869088872883,27.422732803329918,27.919685973266727
CALN1,13.655805768421326,35.94452050236582,40.460375511146694,10.99180385835361,37.964881764644446,27.80347748098638
MYO1G,11.645128947310196,39.61758633252855,21.526424884447817,28.230362822495874,37.46071824660642,27.696044246677772
GML,18.192473109080638,27.817399483982886,26.97388428225802,23.22890186265997,42.22604278842056,27.687740305280414
MFSD6L,22.42236700657594,23.84546946995093,35.91097871764989,15.772986770188805,40.351199580689226,27.66060030901096
DPH6,32.79602813199462,35.80101214114672,22.66471207565803,15.16677353452415,31.71352949589107,27.62841107584292
STX1B,37.24361872734956,25.577297466068348,23.13278688371623,25.25330933860401,26.71309265163739,27.58402101347511
FA2H,31.11660267181427,46.928483421964565,6.984373360789656,31.078962388437432,21.062455494035618,27.43417546740831
HNRNPLL,23.94755201906055,20.91839199266832,22.714232134836458,27.92127864002176,41.41574724804963,27.383440406927342
OR13G1,29.60767963596847,27.917297604591933,18.648816889525513,25.1767407310992,35.456540133644,27.361414998965824
CLDN22,32.360323737609356,26.21250628396768,24.882240208211382,31.422989641796356,21.800840983502496,27.335780171017454
ATP5MK,33.467095797951316,19.997269005838,21.326311651107275,27.876211603305485,33.6743095189148,27.268239515423375
TLL2,21.050688252409262,25.890551798100386,40.37276647593195,23.066278358834673,25.94110144880672,27.2642772668166
GRIA1,27.133628276869377,26.60401740554147,27.171254542744748,22.063291747249536,33.319558922810664,27.25835017904316
LRRC55,37.267052002793335,24.39744621993403,24.38651454605879,18.380075340892187,31.322474895261966,27.15071260098806
USP48,26.109210742424672,37.51018421106059,27.095109254113186,18.879266003068714,25.8339196721111,27.085537976555653
NDUFS5,23.31445911178996,32.00333346144233,28.122518430719335,21.134243012996535,30.55566396804335,27.026043596998303
UNC13D,28.33324054315266,27.032889743599643,36.00824228357272,20.904458779513266,22.62697632463645,26.981161534894948
SPATA1,27.363561335351168,27.09345024175944,32.190706093558006,19.983788262549552,27.699732312671046,26.866247649177843
FSCN3,27.913539878544043,28.447212039482476,35.79116260453961,16.248981215026316,25.708623216912553,26.821903790901
DOP1A,22.965620707386726,32.23027469819061,24.647068188420675,26.179047610141264,28.0573420768301,26.815870656193876
MPO,26.320265414763632,34.11523121898459,6.749263530604338,22.77022736271111,44.046489297614,26.800295364935536
ANKRD24,24.494253957598826,24.757465758154108,25.882205123365114,35.32611689697437,22.893476569833386,26.67070366118516
SYNGAP1,17.486992959000286,21.011186953334835,29.389832958164035,27.044889297368258,38.32526388696774,26.65163321096703
KIAA1671,23.18544869746998,31.282379821852135,19.653792218332228,22.60904203497261,36.05331728718197,26.556796011961783
GSTM1,20.013480241410196,40.14149903692008,29.59847506426188,23.893461809965224,19.119228108253647,26.553228852162206
SLC7A3,21.134243012996535,35.83055614052977,33.10028958473992,15.689295948742826,26.97475368107338,26.545827673616486
KAT14,36.944359269414335,31.588475869145178,12.421103690641901,32.6790124501475,18.965486215654455,26.519687499000675
TMEM50A,18.862894368650835,23.110770693027163,39.86619619647306,23.33257608943353,27.354695817924945,26.50542663310191
